Program,Station,Latitude,Longitude,Region
DEMP,D16,,,Central Delta
DEMP,D19,,,Central Delta
DEMP,D26,,,Central Delta
DEMP,D28A,,,Central Delta
DEMP,D10,,,Confluence
DEMP,D12,,,Confluence
DEMP,D22,,,Confluence
DEMP,D4,,,Confluence
DEMP,C3A,,,Northern Interior Delta
DEMP,NZ068,,,Northern Interior Delta
DEMP,D41,,,San Pablo Bay
DEMP,D41A,,,San Pablo Bay
DEMP,D6,,,San Pablo Bay
DEMP,NZ002,,,San Pablo Bay
DEMP,NZ004,,,San Pablo Bay
DEMP,NZ325,,,San Pablo Bay
DEMP,C10A,,,Southern Interior Delta
DEMP,C9,,,Southern Interior Delta
DEMP,MD10A,,,Southern Interior Delta
DEMP,P8,,,Southern Interior Delta
DEMP,D7,,,Suisun & Grizzly Bays
DEMP,D8,,,Suisun & Grizzly Bays
DEMP,NZ032,,,Suisun & Grizzly Bays
DEMP,NZS42,,,Suisun & Grizzly Bays
