Program,Station,Latitude,Longitude,Region
"DEMP, Phyto, Benthic, Zoop",D16,,,Central Delta
CEMP,D16A,,,Central Delta
"DEMP, Phyto",D19,,,Central Delta
CEMP,D19A,,,Central Delta
"DEMP, Phyto, Zoop",D26,,,Central Delta
"DEMP, Phyto, Benthic, Zoop",D28A,,,Central Delta
CEMP,D29,,,Central Delta
"DEMP, Phyto, Zoop",D10,,,Confluence
CEMP,D10A,,,Confluence
"DEMP, Phyto, Zoop",D12,,,Confluence
CEMP,D12A,,,Confluence
"DEMP, Phyto, Zoop",D22,,,Confluence
CEMP,D22A,,,Confluence
"DEMP, Phyto, Benthic, Zoop",D4,,,Confluence
"DEMP, CEMP, Phyto",C3A,,,North Delta
Benthic,D24,,,North Delta
CEMP,D24A,,,North Delta
"DEMP, Phyto, Benthic",NZ068,,,North Delta
"DEMP, Phyto, Benthic, Zoop",D41,,,San Pablo Bay
"DEMP, Phyto, Benthic, Zoop",D41A,,,San Pablo Bay
"DEMP, Phyto, Benthic, Zoop",D6,,,Suisun & Grizzly Bays
"DEMP, Phyto",NZ002,,,Carquinez
"DEMP, Phyto",NZ004,,,Carquinez
"DEMP, Phyto, Zoop",NZ325,,,San Pablo Bay
"DEMP, CEMP, Phyto",C10A,,,South Delta
CEMP,C7A,,,South Delta
"DEMP, Phyto, Benthic",C9,,,South Delta
"DEMP, Phyto, Zoop",MD10A,,,South Delta
"DEMP, Phyto, Benthic, Zoop",P8,,,South Delta
CEMP,P8A,,,South Delta
CEMP,D6A,,,Suisun & Grizzly Bays
"DEMP, Phyto, Benthic, Zoop",D7,,,Suisun & Grizzly Bays
CEMP,D7A,,,Suisun & Grizzly Bays
"DEMP, Phyto, Zoop",D8,,,Suisun & Grizzly Bays
CEMP,D8A,,,Suisun & Grizzly Bays
CEMP,D9A,,,Confluence
"DEMP, Phyto",NZ032,,,Suisun Marsh
"DEMP, Phyto, Benthic, Zoop",NZS42,,,Suisun Marsh
